firstName,lastName,homeAddress,workAddress,arrivalTime,,,,,,,
Anna,Locket,"12 International Business Park, Singapore 609920","Raffles City, 252 North Bridge Road, 179103",8.30am,,,,,,,
David,Wilson,"12 International Business Park, Singapore 609920","Interntional Plaza, 10 Anson Rd, Singapore 079903",9am,,,,,,,
Janice,Hogg,"31 International Business Park, Creative Resource, Singapore 609921","Keppel Towers, 10 Hoe Chiang Rd, Singapore 089315",9.30am,,,,,,,
Jerry,Johnson,"14 International Business Park, Singapore 609922","8 Shenton Way, AXA Tower",7.30am,,,,,,,
Hope,Hanks,"29 International Business Park, Singapore 609923","Raffles City, 252 North Bridge Road, 179103",8am,,,,,,,
Mathew,Morgan,"29 International Business Park, Singapore 609923","Interntional Plaza, 10 Anson Rd, Singapore 079903",8.30am,,,,,,,
Ervin,Rutledge,"27 International Business Park, Singapore 609924","Keppel Towers, 10 Hoe Chiang Rd, Singapore 089315",9am,,,,,,,
Lynne,White,"8 International Business Park, Singapore 609925","8 Shenton Way, AXA Tower",9.30am,,,,,,,
Joanne,Foster,"3 International Business Park, Singapore 609927","Raffles City, 252 North Bridge Road, 179103",7.30am,,,,,,,
Gary,Courtney,"16 International Business Park, Singapore 609929","Interntional Plaza, 10 Anson Rd, Singapore 079903",8am,,,,,,,
Tina,Dansby,"13 International Business Park, Singapore 609932","Keppel Towers, 10 Hoe Chiang Rd, Singapore 089315",8.30am,,,,,,,
Michael,Long,"13 International Business Park, Singapore 609932","8 Shenton Way, AXA Tower",9am,,,,,,,
Sam,Terrell,"1A International Business Park, Singapore 609933","Raffles City, 252 North Bridge Road, 179103",9.30am,,,,,,,
Angelo,Dougherty,"1A International Business Park, Singapore 609933","Interntional Plaza, 10 Anson Rd, Singapore 079903",7.30am,,,,,,,
Eugenia,Pein,"29A International Business Park, Singapore 609934","Keppel Towers, 10 Hoe Chiang Rd, Singapore 089315",8am,,,,,,,
Michael,Reid,"3A International Business Park, Singapore 609935","8 Shenton Way, AXA Tower",8.30am,,,,,,,
Randy,Ingersoll,"3A International Business Park, Singapore 609935","Raffles City, 252 North Bridge Road, 179103",9am,,,,,,,
David,Davis,"90 Boon Lay Way, Singapore 609958","Interntional Plaza, 10 Anson Rd, Singapore 079903",9.30am,,,,,,,
Tim,Griffith,"161 Boon Lay Way, Singapore 609963","Keppel Towers, 10 Hoe Chiang Rd, Singapore 089315",7.30am,,,,,,,
Arthur,Yeomans,"161 Boon Lay Way, Singapore 609963","8 Shenton Way, AXA Tower",8am,,,,,,,
Mary,Lang,"161 Boon Lay Way, Singapore 609963","Raffles City, 252 North Bridge Road, 179103",8.30am,,,,,,,
Cindy,Darden,"161 Boon Lay Way, Singapore 609963","Interntional Plaza, 10 Anson Rd, Singapore 079903",9am,,,,,,,
Walter,Mobley,"161 Boon Lay Way, Singapore 609963","Keppel Towers, 10 Hoe Chiang Rd, Singapore 089315",9.30am,,,,,,,
Sharon,Stapleton,"161 Boon Lay Way, Singapore 609963","8 Shenton Way, AXA Tower",7.30am,,,,,,,
Rusty,Rogers,"161 Boon Lay Way, Singapore 609963","Raffles City, 252 North Bridge Road, 179103",8am,,,,,,,
Dolores,Clayton,"161 Boon Lay Way, Singapore 609963","Interntional Plaza, 10 Anson Rd, Singapore 079903",8.30am,,,,,,,
Larry,Cowart,"161 Boon Lay Way, Singapore 609963","Keppel Towers, 10 Hoe Chiang Rd, Singapore 089315",9am,,,,,,,
Alexander,Leray,"161 Boon Lay Way, Singapore 609963","8 Shenton Way, AXA Tower",9.30am,,,,,,,
Karina,Villa,"161 Boon Lay Way, Singapore 609963","Raffles City, 252 North Bridge Road, 179103",7.30am,,,,,,,
Kathryn,Gillespie,"161 Boon Lay Way, Singapore 609963","Interntional Plaza, 10 Anson Rd, Singapore 079903",8am,,,,,,,
Louvenia,Fielding,"161 Boon Lay Way, Singapore 609963","Keppel Towers, 10 Hoe Chiang Rd, Singapore 089315",8.30am,,,,,,,
Ginger,Ehmann,"8 Boon Lay Way, Singapore 609964","8 Shenton Way, AXA Tower",9am,,,,,,,
Elizabeth,Maddy,"16 Boon Lay Way, Singapore 609965","Raffles City, 252 North Bridge Road, 179103",9.30am,,,,,,,
Roger,Taylor,"16 Boon Lay Way, Singapore 609965","Interntional Plaza, 10 Anson Rd, Singapore 079903",7.30am,,,,,,,
Anissa,Ward,"18 Boon Lay Way, Singapore 609966","Keppel Towers, 10 Hoe Chiang Rd, Singapore 089315",8am,,,,,,,
Linda,Schmuff,"28 Boon Lay Way, Singapore 609971","8 Shenton Way, AXA Tower",8.30am,,,,,,,
Ruth,Miyashiro,"28 Boon Lay Way, Singapore 609971","Raffles City, 252 North Bridge Road, 179103",9am,,,,,,,
Casey,Hillegas,"348 Kang Ching Rd, Block 348, Singapore 610348","Interntional Plaza, 10 Anson Rd, Singapore 079903",9.30am,,,,,,,
Andrew,Golden,"350 Corporation Dr, Singapore 610350","Keppel Towers, 10 Hoe Chiang Rd, Singapore 089315",7.30am,,,,,,,
Verna,Lee,"351 Corporation Dr, Singapore 610351","8 Shenton Way, AXA Tower",8am,,,,,,,
Joseph,Fisher,"351 Corporation Dr, Singapore 610351","Raffles City, 252 North Bridge Road, 179103",8.30am,,,,,,,
Joanne,Sideris,"366 Corporation Dr, Singapore 610366","Interntional Plaza, 10 Anson Rd, Singapore 079903",9am,,,,,,,
Harold,Glover,"331 Tah Ching Rd, Singapore 611331","Keppel Towers, 10 Hoe Chiang Rd, Singapore 089315",9.30am,,,,,,,
Keith,Finkel,"351A Corporation Dr, Singapore 611351","8 Shenton Way, AXA Tower",7.30am,,,,,,,
Walter,Phillips,"337 Kang Ching Rd, Singapore 615337","Raffles City, 252 North Bridge Road, 179103",8am,,,,,,,
Robert,Mederos,"75 Corporation Walk, Singapore 618466","Interntional Plaza, 10 Anson Rd, Singapore 079903",8.30am,,,,,,,
Jessica,Raven,"9H Yuan Ching Rd, Singapore 618650","Keppel Towers, 10 Hoe Chiang Rd, Singapore 089315",9am,,,,,,,
John,Wheeler,"101 Yuan Ching Rd, Singapore 618653","8 Shenton Way, AXA Tower",9.30am,,,,,,,
Joyce,Mcdowell,"103 Yuan Ching Rd, Singapore 618654","Raffles City, 252 North Bridge Road, 179103",7.30am,,,,,,,
Joseph,Renfroe,"134D Yuan Ching Rd, Singapore 618656","Interntional Plaza, 10 Anson Rd, Singapore 079903",8am,,,,,,,
Erik,Burgess,"134D Yuan Ching Rd, Singapore 618656","Keppel Towers, 10 Hoe Chiang Rd, Singapore 089315",8.30am,,,,,,,
Alonzo,Graham,"134D Yuan Ching Rd, Singapore 618656","8 Shenton Way, AXA Tower",9am,,,,,,,
Nicole,Monopoli,"134A Kang Ching Rd, Singapore 619062","Raffles City, 252 North Bridge Road, 179103",9.30am,,,,,,,
Sara,Hjort,"134C Kang Ching Rd, Singapore 619064","Interntional Plaza, 10 Anson Rd, Singapore 079903",7.30am,,,,,,,
Kara,Biller,"185 Boon Lay Ave, Singapore 640185","Keppel Towers, 10 Hoe Chiang Rd, Singapore 089315",8am,,,,,,,
Ida,Carter,"209 Boon Lay Pl, Block 209, Singapore 640209","8 Shenton Way, AXA Tower",8.30am,,,,,,,
Queen,Vance,"211 Boon Lay Pl, Block 211, Singapore 640211","Raffles City, 252 North Bridge Road, 179103",9am,,,,,,,
Carrie,Mcdougle,"211 Boon Lay Pl, Singapore 640211","Interntional Plaza, 10 Anson Rd, Singapore 079903",9.30am,,,,,,,
Doris,Singelton,"442 Jurong West Ave 1, Singapore 640442","Keppel Towers, 10 Hoe Chiang Rd, Singapore 089315",7.30am,,,,,,,
Shannon,Doyle,"450 Jurong West Street 42, Block 450, Singapore 640450","8 Shenton Way, AXA Tower",8am,,,,,,,
Melinda,Davidson,"453 Jurong West Street 42, Singapore 640453","Raffles City, 252 North Bridge Road, 179103",8.30am,,,,,,,
Angela,Kelly,"470 Jurong West Street 41, Singapore 640470","Interntional Plaza, 10 Anson Rd, Singapore 079903",9am,,,,,,,
Karen,Smith,"472 Jurong West Street 41, Block 472, Singapore 640472","Keppel Towers, 10 Hoe Chiang Rd, Singapore 089315",9.30am,,,,,,,
Sandra,Jones,"474 Jurong West Street 41, Singapore 640474","8 Shenton Way, AXA Tower",7.30am,,,,,,,
Charles,Fitzgerald,"478 Jurong West Street 41, Singapore 640478","Raffles City, 252 North Bridge Road, 179103",8am,,,,,,,
Ray,Morris,"481 Jurong West Street 41, Block 481, Singapore 640481","Interntional Plaza, 10 Anson Rd, Singapore 079903",8.30am,,,,,,,
Valentine,Hopson,"490 Jurong West Ave 1, Block 490, Singapore 640490","Keppel Towers, 10 Hoe Chiang Rd, Singapore 089315",9am,,,,,,,
Vernon,Winkler,"490 Jurong West Ave 1, Block 490, Singapore 640490","8 Shenton Way, AXA Tower",9.30am,,,,,,,
Arnetta,Catania,"490 Jurong West Ave 1, Singapore 640490","Raffles City, 252 North Bridge Road, 179103",7.30am,,,,,,,
Troy,Pascal,"502 Jurong West Ave 1, Singapore 640502","Interntional Plaza, 10 Anson Rd, Singapore 079903",8am,,,,,,,
Deborah,Wright,"505 Jurong West Street 52, Singapore 640505","Keppel Towers, 10 Hoe Chiang Rd, Singapore 089315",8.30am,,,,,,,
Lenore,Spencer,"505 Jurong West Street 52, Singapore 640505","8 Shenton Way, AXA Tower",9am,,,,,,,
Gloria,Osburn,"515 Jurong West Street 52, Singapore 640515","Raffles City, 252 North Bridge Road, 179103",9.30am,,,,,,,
April,Hernandez,"515 Jurong West Street 52, Singapore 640515","Interntional Plaza, 10 Anson Rd, Singapore 079903",7.30am,,,,,,,
James,Nichols,"518 Jurong West Street 52, Block 518, Singapore 640518","Keppel Towers, 10 Hoe Chiang Rd, Singapore 089315",8am,,,,,,,
Wilfred,Lopez,"518 Jurong West Street 52, Block 518, Singapore 640518","8 Shenton Way, AXA Tower",8.30am,,,,,,,
Barbara,Moons,"527 Jurong West Street 52, Singapore 640527","Raffles City, 252 North Bridge Road, 179103",9am,,,,,,,
Billy,Strange,"529 Jurong West Street 52, Block 529, Singapore 640529","Interntional Plaza, 10 Anson Rd, Singapore 079903",9.30am,,,,,,,
Ryan,Houle,"530 Jurong West Street 52, Singapore 640530","Keppel Towers, 10 Hoe Chiang Rd, Singapore 089315",7.30am,,,,,,,
Roy,Merkle,"532 Jurong West Street 52, Block 532, Singapore 640532","8 Shenton Way, AXA Tower",8am,,,,,,,
Virgil,Babin,"538 Jurong West Ave 1, Block 538, Singapore 640538","Raffles City, 252 North Bridge Road, 179103",8.30am,,,,,,,
Lori,Keitt,"539 Jurong West Ave 1, Block 539, Singapore 640539","Interntional Plaza, 10 Anson Rd, Singapore 079903",9am,,,,,,,
Laila,Slatton,"539 Jurong West Ave 1, Singapore 640539","Keppel Towers, 10 Hoe Chiang Rd, Singapore 089315",9.30am,,,,,,,
Nathan,Pecci,"542 Jurong West Ave 1, Block 542, Singapore 640542","8 Shenton Way, AXA Tower",7.30am,,,,,,,
Tiffany,Allen,"207A Boon Lay Pl, Singapore 641207","Raffles City, 252 North Bridge Road, 179103",8am,,,,,,,
Gregory,Riles,"517A Jurong West Street 52, Singapore 641517","Interntional Plaza, 10 Anson Rd, Singapore 079903",8.30am,,,,,,,
Brian,Exline,"518A Jurong West Street 52, Singapore 641518","Keppel Towers, 10 Hoe Chiang Rd, Singapore 089315",9am,,,,,,,
Michael,Williams,"517D Jurong West Street 52, Singapore 644517","8 Shenton Way, AXA Tower",9.30am,,,,,,,
Sharon,Kincheloe,"50 Lakeside Dr, Singapore 648315","Raffles City, 252 North Bridge Road, 179103",7.30am,,,,,,,
Vincenzo,Eck,"8 Jurong West Street 51, Singapore 649332","Interntional Plaza, 10 Anson Rd, Singapore 079903",8am,,,,,,,
Kristal,Taylor,"35 Jurong West Street 41, Singapore 649406","Keppel Towers, 10 Hoe Chiang Rd, Singapore 089315",8.30am,,,,,,,
Wanda,Meier,"5 Jurong West Street 41, Singapore 649410","8 Shenton Way, AXA Tower",9am,,,,,,,
Hazel,Wright,"5 Jurong West Street 41, Singapore 649410","Raffles City, 252 North Bridge Road, 179103",9.30am,,,,,,,
Danielle,Giannotti,"29 Jurong West Street 41, Singapore 649411","Interntional Plaza, 10 Anson Rd, Singapore 079903",7.30am,,,,,,,
Shannon,Higgins,"7 Jurong West Street 41, Singapore 649414","Keppel Towers, 10 Hoe Chiang Rd, Singapore 089315",8am,,,,,,,
Joseph,Manzanarez,"7 Jurong West Street 41, Singapore 649414","8 Shenton Way, AXA Tower",8.30am,,,,,,,
Margaret,Spence,"7 Jurong West Street 41, Singapore 649414","Raffles City, 252 North Bridge Road, 179103",9am,,,,,,,
Nedra,Mccray,"7 Jurong West Street 41, Singapore 649414","Interntional Plaza, 10 Anson Rd, Singapore 079903",9.30am,,,,,,,
Jacqueline,Paul,"800 Corporation Rd, Singapore 649809","Keppel Towers, 10 Hoe Chiang Rd, Singapore 089315",7.30am,,,,,,,
Hannah,Baca,"800 Corporation Rd, Singapore 649809","8 Shenton Way, AXA Tower",8am,,,,,,,
Donald,Lee,"450 Corporation Rd, Singapore 649810","Raffles City, 252 North Bridge Road, 179103",8.30am,,,,,,,
Marylee,Alejos,"201 Boon Lay Way, Singapore 649845","Interntional Plaza, 10 Anson Rd, Singapore 079903",9am,,,,,,,
Aide,Gonzalez,"104 Bukit Batok Central, Block 104, Singapore 650104","Keppel Towers, 10 Hoe Chiang Rd, Singapore 089315",9.30am,,,,,,,
Roger,Mcculloch,"104 Bukit Batok Central, Singapore 650104","8 Shenton Way, AXA Tower",7.30am,,,,,,,
Leona,Matheny,"113 Bukit Batok West Ave 6, Singapore 650113","Raffles City, 252 North Bridge Road, 179103",8am,,,,,,,
Lawrence,Hancock,"118 Bukit Batok West Ave 6, Block 118, Singapore 650118","Interntional Plaza, 10 Anson Rd, Singapore 079903",8.30am,,,,,,,
Emma,Small,"122 Bukit Batok Central, Singapore 650122","Keppel Towers, 10 Hoe Chiang Rd, Singapore 089315",9am,,,,,,,
Mildred,Nunnery,"124 Bukit Batok Central, Singapore 650124","8 Shenton Way, AXA Tower",9.30am,,,,,,,
Eileen,Velez,"125 Bukit Batok Central, Singapore 650125","Raffles City, 252 North Bridge Road, 179103",7.30am,,,,,,,
Theresa,Humphrey,"125 Bukit Batok Central, Singapore 650125","Interntional Plaza, 10 Anson Rd, Singapore 079903",8am,,,,,,,
Angela,Zager,"128 Bukit Batok West Ave 6, Singapore 650128","Keppel Towers, 10 Hoe Chiang Rd, Singapore 089315",8.30am,,,,,,,
David,Beauchemin,"134 Bukit Batok West Ave 6, Singapore 650134","8 Shenton Way, AXA Tower",9am,,,,,,,
Ramon,Manrriquez,"136 Bukit Batok West Ave 6, Block 136, Singapore 650136","Raffles City, 252 North Bridge Road, 179103",9.30am,,,,,,,
Greg,Monson,"137 Bukit Batok West Ave 6, Singapore 650137","Interntional Plaza, 10 Anson Rd, Singapore 079903",7.30am,,,,,,,
Hal,Reamer,"137 Bukit Batok West Ave 6, Singapore 650137","Keppel Towers, 10 Hoe Chiang Rd, Singapore 089315",8am,,,,,,,
James,Frank,"137 Bukit Batok West Ave 6, Singapore 650137","8 Shenton Way, AXA Tower",8.30am,,,,,,,
Alberta,Lee,"139 Bukit Batok West Ave 6, Singapore 650139","Raffles City, 252 North Bridge Road, 179103",9am,,,,,,,
Josephine,Davis,"139 Bukit Batok West Ave 6, Singapore 650139","Interntional Plaza, 10 Anson Rd, Singapore 079903",9.30am,,,,,,,
Alan,Burton,"142 Bukit Batok Street 11, Block 142, Singapore 650142","Keppel Towers, 10 Hoe Chiang Rd, Singapore 089315",7.30am,,,,,,,
Eleanor,Shulman,"145 Bukit Batok Street 11, Block 145, Singapore 650145","8 Shenton Way, AXA Tower",8am,,,,,,,
Clifford,Haugh,"171 Bukit Batok West Ave 8, Block 171, Singapore 650171","Raffles City, 252 North Bridge Road, 179103",8.30am,,,,,,,
Susan,Farris,"178 Bukit Batok West Ave 8, Block 178, Singapore 650178","Interntional Plaza, 10 Anson Rd, Singapore 079903",9am,,,,,,,
Jacqueline,Mitchell,"181 Bukit Batok West Ave 8, Singapore 650181","Keppel Towers, 10 Hoe Chiang Rd, Singapore 089315",9.30am,,,,,,,
Beatrice,Rathke,"184 Bukit Batok West Ave 8, Block 184, Singapore 650184","8 Shenton Way, AXA Tower",7.30am,,,,,,,
Rose,King,"190 Bukit Batok West Ave 6, Singapore 650190","Raffles City, 252 North Bridge Road, 179103",8am,,,,,,,
Richard,Wong,"192 Bukit Batok West Ave 6, Singapore 650192","Interntional Plaza, 10 Anson Rd, Singapore 079903",8.30am,,,,,,,
Steven,Olsen,"192 Bukit Batok West Ave 6, Singapore 650192","Keppel Towers, 10 Hoe Chiang Rd, Singapore 089315",9am,,,,,,,
Todd,Mathis,"192 Bukit Batok West Ave 6, Singapore 650192","8 Shenton Way, AXA Tower",9.30am,,,,,,,
John,Bravo,"305 Bukit Batok Street 31, Singapore 650305","Raffles City, 252 North Bridge Road, 179103",7.30am,,,,,,,
Janet,Wood,"308 Bukit Batok Street 31, Singapore 650308","Interntional Plaza, 10 Anson Rd, Singapore 079903",8am,,,,,,,
Dottie,Smith,"309 Bukit Batok Street 31, Singapore 650309","Keppel Towers, 10 Hoe Chiang Rd, Singapore 089315",8.30am,,,,,,,
Melanie,Evans,"315 Bukit Batok Street 32, Singapore 650315","8 Shenton Way, AXA Tower",9am,,,,,,,
Scott,Neal,"372 Bukit Batok Street 31, Block 372, Singapore 650372","Raffles City, 252 North Bridge Road, 179103",9.30am,,,,,,,
Kara,Martinez,"372 Bukit Batok Street 31, Block 372, Singapore 650372","Interntional Plaza, 10 Anson Rd, Singapore 079903",7.30am,,,,,,,
Tony,Kozyra,"375 Bukit Batok Street 31, Singapore 650375","Keppel Towers, 10 Hoe Chiang Rd, Singapore 089315",8am,,,,,,,
Athena,Glenn,"426 Bukit Batok West Ave 2, Singapore 650426","8 Shenton Way, AXA Tower",8.30am,,,,,,,
Michael,Blake,"426 Bukit Batok West Ave 2, Singapore 650426","Raffles City, 252 North Bridge Road, 179103",9am,,,,,,,
Scott,Butts,"426 Bukit Batok West Ave 2, Singapore 650426","Interntional Plaza, 10 Anson Rd, Singapore 079903",9.30am,,,,,,,
Anthony,Zayas,"426 Bukit Batok West Ave 2, Singapore 650426","Keppel Towers, 10 Hoe Chiang Rd, Singapore 089315",7.30am,,,,,,,
Terrance,Harris,"426 Bukit Batok West Ave 2, Singapore 650426","8 Shenton Way, AXA Tower",8am,,,,,,,
Amy,Zinke,"426 Bukit Batok West Ave 2, Singapore 650426","Raffles City, 252 North Bridge Road, 179103",8.30am,,,,,,,
Ira,Mcniel,"426 Bukit Batok West Ave 2, Singapore 650426","Interntional Plaza, 10 Anson Rd, Singapore 079903",9am,,,,,,,
Claudia,Alder,"426 Bukit Batok West Ave 2, Singapore 650426","Keppel Towers, 10 Hoe Chiang Rd, Singapore 089315",9.30am,,,,,,,
Michael,Arnold,"426 Bukit Batok West Ave 2, Singapore 650426","8 Shenton Way, AXA Tower",7.30am,,,,,,,
Marty,Hubbs,"426 Bukit Batok West Ave 2, Singapore 650426","Raffles City, 252 North Bridge Road, 179103",8am,,,,,,,
Albert,Goodness,"426 Bukit Batok West Ave 2, Singapore 650426","Interntional Plaza, 10 Anson Rd, Singapore 079903",8.30am,,,,,,,
Patrick,Walker,"426 Bukit Batok West Ave 2, Singapore 650426","Keppel Towers, 10 Hoe Chiang Rd, Singapore 089315",9am,,,,,,,
Robert,Mccall,"426 Bukit Batok West Ave 2, Singapore 650426","8 Shenton Way, AXA Tower",9.30am,,,,,,,
Clement,Hager,"426 Bukit Batok West Ave 2, Singapore 650426","Raffles City, 252 North Bridge Road, 179103",7.30am,,,,,,,
Gaynell,Kassin,"426 Bukit Batok West Ave 2, Singapore 650426","Interntional Plaza, 10 Anson Rd, Singapore 079903",8am,,,,,,,
Jay,Nelson,"426 Bukit Batok West Ave 2, Singapore 650426","Keppel Towers, 10 Hoe Chiang Rd, Singapore 089315",8.30am,,,,,,,
Marie,Hogan,"426 Bukit Batok West Ave 2, Singapore 650426","8 Shenton Way, AXA Tower",9am,,,,,,,
Desiree,Prather,"426 Bukit Batok West Ave 2, Singapore 650426","Raffles City, 252 North Bridge Road, 179103",9.30am,,,,,,,
